angle,0-1,1-2,2-3,3-4,4-5,5-6,6+
N,0.0,1.6,2.0,2.6,0.7,0.0,0.0
NNE,0.0,0.7,0.7,1.3,0.0,0.0,0.0
NE,0.0,0.7,1.3,0.7,0.0,0.0,0.0
ENE,0.0,1.0,3.3,0.7,0.0,0.0,0.0
E,0.7,2.3,4.2,0.0,0.0,0.0,0.7
ESE,0.0,1.3,0.3,0.0,0.0,0.0,0.0
SE,0.0,0.7,0.0,0.0,0.0,0.0,0.3
SSE,0.0,1.0,0.0,0.0,0.0,0.0,0.3
S,0.0,4.9,0.0,0.0,0.0,0.0,0.0
SSW,2.6,13.1,2.9,0.0,0.0,0.0,0.0
SW,2.0,11.1,4.6,0.0,0.0,0.0,0.0
WSW,0.3,6.2,5.2,1.6,0.0,0.0,0.3
W,0.0,2.3,4.9,2.6,0.7,0.0,0.3
WNW,0.0,1.3,1.3,0.0,0.7,0.0,0.0
NW,0.0,0.3,0.7,0.0,0.0,0.3,0.0
NNW,0.0,0.7,0.0,0.0,0.0,0.0,0.0
